Vernacular name,International name,Scientific name,Category,Sort
Mute Swan,,Cygnus olor,AC2,1
Bewick's Swan,Tundra Swan,Cygnus columbianus,AE,2
Whooper Swan,,Cygnus cygnus,AE,3
Bean Goose,Tundra/Taiga Bean Goose,Anser fabalis,AE,4
Pink-footed Goose,,Anser brachyrhynchus,AE,5
White-fronted Goose,Greater White-fronted Goose,Anser albifrons,AE,6
Lesser White-fronted Goose,,Anser erythropus,AE,7
Greylag Goose,,Anser anser,AC2C4E,8
Snow Goose,,Chen caerulescens,AC2E,9
Canada Goose,,Branta canadensis,AC2E,10
Cackling Goose,,Branta hutchinsii,AE,11
Barnacle Goose,,Branta leucopsis,AC2E,12
Brent Goose,Brant Goose,Branta bernicla,AE,13
Red-breasted Goose,,Branta ruficollis,AE,14
Egyptian Goose,,Alopochen aegyptiaca,C1E,15
Ruddy Shelduck,,Tadorna ferruginea,BDE,16
Shelduck,Common Shelduck,Tadorna tadorna,A,17
Mandarin Duck,,Aix galericulata,C1E,18
Wigeon,Eurasian Wigeon,Anas penelope,AE,19
American Wigeon,,Anas americana,AE,20
Gadwall,,Anas strepera,AC2,21
Baikal Teal,,Anas formosa,AE,22
Teal,Eurasian Teal,Anas crecca,A,23
Green-winged Teal,,Anas crecca carolinensis,A,24
Mallard,,Anas platyrhynchos,AC2C4E,25
Black Duck,American Black Duck,Anas rubripes,A,26
Pintail,Northern Pintail,Anas acuta,AE,27
Garganey,,Anas querquedula,A,28
Blue-winged Teal,,Anas discors,AE,29
Shoveler,Northern Shoveler,Anas clypeata,A,30
Red-crested Pochard,,Netta rufina,AC2E,31
Canvasback,,Aythya valisineria,AE,32
Pochard,Common Pochard,Aythya ferina,AE,33
Redhead,,Aythya americana,AE,34
Ring-necked Duck,,Aythya collaris,AE,35
Ferruginous Duck,,Aythya nyroca,AE,36
Tufted Duck,,Aythya fuligula,A,37
Scaup,Greater Scaup,Aythya marila,A,38
Lesser Scaup,,Aythya affinis,A,39
Eider,Common Eider,Somateria mollissima,A,40
King Eider,,Somateria spectabilis,A,41
Steller's Eider,,Polysticta stelleri,A,42
Harlequin Duck,,Histrionicus histrionicus,A,43
Long-tailed Duck,,Clangula hyemalis,A,44
Common Scoter,,Melanitta nigra,A,45
Black Scoter,,Melanitta americana,A,46
Surf Scoter,,Melanitta perspicillata,A,47
Velvet Scoter,,Melanitta fusca,A,48
White-winged Scoter,,Melanitta fusca deglandi,A,49
Bufflehead,,Bucephala albeola,AE,50
Barrow's Goldeneye,,Bucephala islandica,AE,51
Goldeneye,Common Goldeneye,Bucephala clangula,AE,52
Hooded Merganser,,Lophodytes cucullatus,AE,53
Smew,,Mergellus albellus,A,54
Red-breasted Merganser,,Mergus serrator,A,55
Goosander,Common Merganser,Mergus merganser,A,56
Ruddy Duck,,Oxyura jamaicensis,C1E,57
Quail Common,Quail,Coturnix coturnix,AE,58
Red-legged Partridge,,Alectoris rufa,C1E,59
Red Grouse,Willow Ptarmigan,Lagopus lagopus,A,60
Ptarmigan,Rock Ptarmigan,Lagopus muta,A,61
Black Grouse,,Tetrao tetrix,AE,62
Capercaillie,Western Capercaillie,Tetrao urogallus,C3,63
Grey Partridge,,Perdix perdix,AC2E,64
Pheasant,Common Pheasant,Phasianus colchicus,C1E,65
Lady Amherst's Pheasant,,Chrysolophus amherstiae,C6E,66
Golden Pheasant,,Chrysolophus pictus,C1E,67
